Model,training_epochs,training_MSE,validation_MSE,test_MSE
marine11b_features20230619lstm3_d1_o0.05_mse,13,0.18732601404190063,0.17828059196472168,0.1774448757910249
marine11b_features20230619lstm4_d1_o0.05_mse,14,0.16856560111045837,0.1748124659061432,0.1836767215484345
marine11b_features20230619lstm2_d1_o0.05_mse,22,0.17833814024925232,0.17792394757270813,0.1792476364233675
marine11b_features20230619lstm3_d0_o0.05_mse,18,0.17261280119419098,0.17440639436244965,0.1717306722218645
marine11b_features20230619lstm4_d0_o0.05_mse,11,0.1947125494480133,0.17530708014965057,0.18140221530559617
marine11b_features20230619lstm2_d0_o0.05_mse,25,0.18267568945884705,0.17787396907806396,0.1836405025945465
marine11b_features20230619lstm1_d0_o0.05_mse,52,0.18371930718421936,0.18644428253173828,0.18447825330630965
marine11b_features20230619lstm1_d1_o0.05_mse,28,0.1872243583202362,0.18588469922542572,0.18136292605752505
