Taxon, Area, MinAge, MaxAge, Latitude, Longitude, Locality
Ailurus fulgens, Asia, 0.6, 1.3, 25.2, 102.5, 1
Alopecocyon getti, Europe, 5.3, 7.1, 39.4, -0.4, 2
Alopecocyon getti, Europe, 15.2, 18, 45.9, 4.7, 3
Alopecocyon goeriachensis, Europe, 11.2, 12.5, 45.6, 5.2, 4
Alopecocyon goeriachensis, Europe, 11.608, 15.97, 43.5, 0.6, 5
Alopecocyon goeriachensis, Asia, 12.5, 15.2, 46, 89, 6
Alopecocyon goeriachensis, Europe, 12.5, 15.2, 43.9, -0.5, 7
Alopecocyon goeriachensis, Europe, 12.5, 15.2, 48.2, 17, 8
Alopecocyon goeriachensis, Europe, 12.75, 13.65, 48.2, 17, 9
Alopecocyon goeriachensis, Europe, 15.2, 17, 47.5, 15.3, 10
Alopecocyon goeriachensis, Europe, 15.2, 17, 47.5, 0.1, 11
Alopecocyon goeriachensis, Europe, 15.2, 17, 47.5, 0.2, 12
Alopecocyon goeriachensis, Europe, 15.2, 17, 47.5, 0, 13
Alopecocyon goeriachensis, Europe, 15.2, 17, 47.3, 0.8, 14
Alopecocyon leardi, NorthAmerica, 9, 10.1, 34.8, -119.3, 15
Alopecocyon leardi, NorthAmerica, 12.1, 12.1, 34.3, -119, 16
Alopecocyon parverratis, NorthAmerica, 13.6, 15.97, 39.2, -117.9, 17
Amphictis aginensis, Europe, 20, 22.8, 44.3, 0.6, 18
Amphictis antiqua, Europe, 15.97, 20.43, 47.5, 0, 19
Amphictis antiqua, Europe, 18, 20, 47.5, 0, 20
Amphictis antiqua, Europe, 18, 20, 47.4, 0.3, 21
Amphictis antiqua, Europe, 20, 22.8, 44.2, 6.2, 22
Amphictis antiqua, Europe, 20, 22.8, 46.5, 3.5, 23
Amphictis antiqua, Europe, 20, 22.8, 46.8, -1.3, 24
Amphictis antiqua, Europe, 20, 22.8, 51.1, 7.7, 25
Amphictis antiqua, Europe, 23.03, 33.9, 44, 0, 26
Amphictis borbonica, Europe, 20, 22.4, 50, 8.2, 27
Amphictis borbonica, Europe, 22.4, 23.03, 50, 8.3, 28
Amphictis cuspida, Asia, 13.263, 14.059, 40.2, 33.5, 29
Amphictis lemanensis, Europe, 20, 22.8, 46.8, -1.3, 24
Amphictis prolongata, Europe, 20, 22.4, 50, 8.2, 27
Amphictis prolongata, Europe, 22.4, 23.03, 50, 8.3, 28
Amphictis schlosseri, Europe, 20, 22.4, 50, 8.2, 27
Amphictis schlosseri, Europe, 22.4, 23.03, 50, 8.3, 28
Amphictis wintershofensis, Europe, 18, 20, 48.9, 11.2, 30
Magerictis imperialensis, Europe, 13.65, 16.9, 40.4, -3.7, 31
Magerictis imperialensis, Europe, 15.2, 17, 40.4, -3.7, 32
Parailurus anglicus, Europe, 1.806, 2.588, 52, 1.4, 33
Parailurus anglicus, Europe, 2.6, 3.4, 48.2, 20, 34
Parailurus anglicus, Europe, 3.4, 4.2, 50.4, 8.9, 35
Parailurus anglicus, Europe, 3.4, 4.2, 46, 25.6, 36
Parailurus anglicus, Europe, 3.4, 4.2, 48.2, 17.9, 37
Parailurus baikalicus, Europe, 3, 3.4, 51.4, 105.9, 38
Parailurus hungaricus, Europe, 1.95, 3.4, 44.9, 8, 39
Parailurus hungaricus, Europe, 2.6, 3.4, 44.5, 8, 40
Parailurus hungaricus, Europe, 2.6, 3.4, 48.2, 20, 34
Parailurus NorthAmerica, NorthAmerica, 2.5, 4.9, 47, -122.9, 41
Parailurus NorthAmerica, NorthAmerica, 3.3, 3.4, 47, -118.5, 42
Pristinailurus bristoli, NorthAmerica, 2.5, 5.9, 36.2, -86.8, 43
Pristinailurus bristoli, NorthAmerica, 10, 10, 36.4, -82.5, 44
Protursus simpsoni, Asia, 5.332, 8.7, 25, 102.1, 45
Protursus simpsoni, Europe, 9.491, 9.592, 41.5, 2.1, 46
Simocyon batalleri, Europe, 8.7, 9.7, 40.2, -3.8, 47
Simocyon batalleri, Europe, 9, 9.5, 40.2, -3.8, 48
Simocyon batalleri, Europe, 9.5, 11.2, 41.3, 2.1, 49
Simocyon diaphorus, Europe, 9.5, 11.2, 49.7, 9, 50
Simocyon diaphorus, Europe, 9.5, 10.35, 48.7, 20.6, 51
Simocyon diaphorus, Europe, 9.7, 11.1, 48.4, 20.6, 52
Simocyon hungaricus, Europe, 8.2, 9, 47.4, 18.5, 53
Simocyon marshi, NorthAmerica, 7.4, 7.4, 42.8, -112.9, 54
Simocyon marshi, NorthAmerica, 7.7, 7.8, 44.5, -119.3, 55
Simocyon primigenius, Asia, 5.3, 7.1, 39, 111, 56
Simocyon primigenius, Asia, 5.3, 7.1, 39, 111.1, 57
Simocyon primigenius, Asia, 5.3, 9, 37, 113, 58
Simocyon primigenius, Europe, 5.332, 11.608, 46.6, 29.7, 59
Simocyon primigenius, Europe, 7.1, 8.2, 42.5, 23.1, 60
Simocyon primigenius, Europe, 7.1, 8.2, 38.5, 24.2, 61
Simocyon primigenius, Europe, 7.1, 8.2, 38, 24, 62
Simocyon primigenius, Europe, 7.1, 9.5, 46.6, 29.7, 63
Simocyon primigenius, Europe, 7.1, 8.2, 40.4, -1.1, 64
Simocyon primigenius, Asia, 8.2, 9, 35.9, 103.8, 65
Allocyon loganensis, NorthAmerica, 28.4, 28.6, 44.7, -119.6, 66
Allocyon loganensis, NorthAmerica, 30, 31.4, 44.9, -123, 67
Allocyon loganensis, NorthAmerica, 30.8, 33.3, 44.6, -119.6, 68
Amphicticeps dorog, Asia, 28.4, 33.9, 45.2, 101.6, 69
Amphicticeps makhchinus, Asia, 28.4, 33.9, 45.3, 101.6, 70
Amphicticeps shackelfordi, Asia, 23.8, 24.6, 45.5, 101.4, 71
Amphicticeps shackelfordi, Asia, 28.4, 33.9, 45.3, 101.8, 72
Amphicticeps shackelfordi, Asia, 28.4, 33.9, 45.2, 101.6, 69
Amphicynodon gracilis, Europe, 28.4, 33.9, 44.3, 1.6, 73
Amphicynodon leptorhynchus, Europe, 28.4, 33.9, 44.5, 1.5, 74
Amphicynodon leptorhynchus, Europe, 32, 33, 47.9, 8.9, 75
Amphicynodon teilhardi, Asia, 24.6, 34, 45.3, 101.8, 76
Amphicynodon teilhardi, Asia, 28.4, 33.9, 39.2, 105.6, 77
Amphicynodon teilhardi, Asia, 28.4, 33.9, 39.8, 108.7, 78
Amphicynodon teilhardi, Asia, 28.4, 33.9, 45.3, 101.6, 70
Amphicynodon teilhardi, Asia, 28.4, 33.9, 45.3, 101.8, 72
Amphicynodon typicus, Europe, 28.4, 33.9, 44.5, 1.5, 74
Amphicynodon typicus, Europe, 28.4, 33.9, 44.3, 1.6, 73
Amphicynodon velaunus, Europe, 28.4, 33.9, 45, 3.9, 79
Drassonax harpagops, NorthAmerica, 33.3, 33.3, 40.8, -103.1, 80
Pachycynodon tedfordi, Asia, 23.8, 34, 40.8, 111.7, 81
Pachycynodon tedfordi, Asia, 28.4, 33.9, 39.8, 108.7, 78
Parictis dakotensis, NorthAmerica, 30, 32, 43, -104.5, 82
Parictis dakotensis, NorthAmerica, 32, 33.7, 45.6, -103.6, 83
Parictis dakotensis, NorthAmerica, 33.3, 33.9, 43.3, -102.5, 84
Parictis dakotensis, NorthAmerica, 33.7, 34.7, 43.5, -103, 85
Parictis dakotensis, NorthAmerica, 35.1, 36.4, 43.3, -102.5, 86
Parictis dakotensis, NorthAmerica, 35.2, 36.1, 43, -104.5, 87
Parictis dakotensis, NorthAmerica, 35.5, 35.5, 43.3, -102.5, 88
Parictis dakotensis, NorthAmerica, 36.1, 36.1, 43.6, -102.4, 89
Parictis dakotensis, NorthAmerica, 36.2, 36.3, 40.8, -103.1, 90
Parictis dakotensis, NorthAmerica, 36.3, 36.4, 43.8, -103.1, 91
Parictis gilpini, NorthAmerica, 30, 32, 43, -104.5, 82
Parictis gilpini, NorthAmerica, 32, 33.7, 43, -104.5, 92
Parictis gilpini, NorthAmerica, 32, 33.7, 45.6, -103.6, 83
Parictis gilpini, NorthAmerica, 32, 33.7, 40.8, -96.7, 93
Parictis gilpini, NorthAmerica, 33.3, 33.9, 43, -104.5, 94
Parictis gilpini, NorthAmerica, 34.7, 35.7, 41.1, -100.8, 95
Parictis gilpini, NorthAmerica, 35.6, 36.2, 43, -104.5, 96
Parictis gilpini, NorthAmerica, 35.6, 35.7, 43, -104.5, 97
Parictis gilpini, NorthAmerica, 35.6, 36.2, 42.8, -103.1, 98
Parictis gilpini, NorthAmerica, 35.7, 36.5, 41.1, -100.8, 99
Parictis gilpini, NorthAmerica, 36.1, 36.1, 43.6, -102.4, 89
Parictis gilpini, NorthAmerica, 36.2, 36.2, 42.4, -103.8, 100
Parictis major, NorthAmerica, 33.7, 34.7, 43.5, -103, 85
Parictis major, NorthAmerica, 35.5, 35.5, 43.3, -102.5, 88
Parictis montanus, NorthAmerica, 33.7, 35.7, 46.6, -112, 101
Parictis montanus, NorthAmerica, 34.7, 35.7, 46.6, -112, 102
Parictis montanus, NorthAmerica, 35.9, 35.9, 46.4, -112.8, 103
Parictis montanus, NorthAmerica, 35.9, 35.9, 46, -112, 104
Parictis parvus, NorthAmerica, 32, 33.7, 45.6, -103.6, 83
Parictis parvus, NorthAmerica, 33.9, 37.2, 43.2, -107.1, 105
Parictis parvus, NorthAmerica, 36.1, 36.1, 43.6, -102.4, 89
Parictis parvus, NorthAmerica, 36.7, 36.7, 42, -104.2, 106
Parictis parvus, NorthAmerica, 36.9, 36.9, 49.6, -109.9, 107
Parictis personi, NorthAmerica, 35.1, 36.4, 43.2, -108.2, 108
Parictis personi, NorthAmerica, 35.7, 36.5, 43, -108.6, 109
Parictis primaevus, NorthAmerica, 32, 33.7, 44.9, -123, 110
Parictis primaevus, NorthAmerica, 33.7, 37, 44.9, -123, 111
Adilophontes brachykolos, NorthAmerica, 18.8, 19.5, 41.7, -104.7, 112
Adilophontes brachykolos, NorthAmerica, 20.8, 20.8, 42, -104.2, 113
Adilophontes brachykolos, NorthAmerica, 20.9, 20.9, 42.1, -105, 114
Afrocyon buroletti, Africa, 14.8, 20.5, 28.5, 20, 115
Afrocyon ginsburgi, Africa, 15.2, 17, -28.5, 16.7, 116
Afrocyon macrodon, Africa, 12.5, 15.2, 0.8, 35.8, 117
Afrocyon macrodon, Africa, 15.2, 17, 3.3, 35.7, 118
Afrocyon macrodon, Africa, 17, 18, 0.4, 34.2, 119
Agnotherium antiquum, Europe, 9.491, 9.592, 41.5, 2.1, 46
Agnotherium antiquum, Europe, 9.5, 11.2, 49.7, 9, 50
Agnotherium antiquum, Europe, 9.5, 11.2, 41.1, -1.4, 120
Agnotherium antiquum, Europe, 9.5, 11.2, 47.4, 7.2, 121
Agnotherium antiquum, Africa, 11.2, 12.5, 34, 8, 122
Agnotherium antiquum, Africa, 11.608, 15.97, 32.4, -6.3, 123
Agnotherium antiquum, Africa, 12.5, 15.2, 32.5, -6.5, 124
Agnotherium grivense, Europe, 7.246, 15.97, 43.5, 0.7, 125
Agnotherium grivense, Europe, 11.2, 12.5, 45.6, 5.2, 4
Agnotherium grivense, Europe, 11.2, 15.2, 44, 0.3, 126
Agnotherium grivense, Europe, 12.5, 15.2, 43.2, 21.1, 127
Agnotherium grivense, Europe, 13.65, 15.97, 47.5, 0, 128
Agnotherium grivense, Europe, 15.2, 17, 48.1, 2.1, 129
Agnotherium grivense, Europe, 15.2, 17, 47.4, 0.4, 130
Agnotherium grivense, Europe, 15.2, 17, 47.3, 0.8, 14
Agnotherium grivense, Europe, 15.2, 17, 47.3, 0.3, 131
Agnotherium grivense, Europe, 15.2, 17, 47.5, 0, 13
Agnotherium grivense, Europe, 15.2, 17, 47.5, 0.3, 132
Agnotherium grivense, Europe, 15.97, 16.9, 48.1, 1.8, 133
Aktaucyon brachifacialis, Asia, 15.2, 18, 44.4, 79, 134
Amphicyon confucianus, Asia, 15.2, 17, 32, 116.5, 135
Amphicyon cooperi, Asia, 15.97, 16.9, 29, 69.1, 136
Amphicyon cooperi, Asia, 16.9, 20, 29, 69.1, 137
Amphicyon cooperi, Asia, 17, 18, 29, 69.2, 138
Amphicyon cooperi, Asia, 18, 20, 29, 69.2, 139
Amphicyon frendens, NorthAmerica, 14.7, 14.7, 43.6, -117.5, 140
Amphicyon frendens, NorthAmerica, 15.5, 15.6, 43.6, -117.5, 141
Amphicyon frendens, NorthAmerica, 15.8, 15.8, 42.7, -118.7, 142
Amphicyon frendens, NorthAmerica, 16, 17.5, 42.2, -103.7, 143
Amphicyon frendens, NorthAmerica, 16, 17.5, 42.2, -103.8, 144
Amphicyon frendens, NorthAmerica, 17.6, 17.6, 42.4, -103.8, 145
Amphicyon galushai, NorthAmerica, 15.97, 20.43, 44.7, -119.6, 146
Amphicyon galushai, NorthAmerica, 17.5, 18.8, 42.8, -102, 147
Amphicyon galushai, NorthAmerica, 17.5, 18.8, 40.1, -105.9, 148
Amphicyon galushai, NorthAmerica, 17.5, 18.8, 44.9, -123, 149
Amphicyon galushai, NorthAmerica, 19.8, 19.8, 42.8, -103.1, 150
Amphicyon galushai, NorthAmerica, 19.8, 19.9, 42.2, -103.1, 151
Amphicyon galushai, NorthAmerica, 19.8, 19.9, 42.8, -103.1, 152
Amphicyon galushai, NorthAmerica, 19.8, 19.9, 42.3, -103.5, 153
Amphicyon galushai, NorthAmerica, 19.8, 19.9, 42.6, -103.4, 154
Amphicyon galushai, NorthAmerica, 19.8, 19.9, 40.6, -106.2, 155
Amphicyon galushai, NorthAmerica, 19.9, 19.9, 42.2, -103.1, 156
Amphicyon galushai, NorthAmerica, 19.9, 19.9, 42.4, -103.3, 157
Amphicyon galushai, NorthAmerica, 19.9, 19.9, 42.8, -103.1, 158
Amphicyon giganteus, Africa, 5.3, 7.1, 16.2, 16.3, 159
Amphicyon giganteus, Europe, 12.5, 15.2, 41.2, -1.4, 160
Amphicyon giganteus, Europe, 12.5, 15.2, 40.4, -3.7, 161
Amphicyon giganteus, Europe, 12.5, 15.2, 40.8, -4, 162
Amphicyon giganteus, Africa, 15.2, 17, -28.5, 16.7, 116
Amphicyon giganteus, Europe, 15.2, 17, 46.7, 15.2, 163
Amphicyon giganteus, Europe, 15.2, 17, 47.5, 0.1, 11
Amphicyon giganteus, Europe, 15.2, 17, 47.7, 1.6, 164
Amphicyon giganteus, Europe, 15.2, 17, 48.1, 2.1, 129
Amphicyon giganteus, Europe, 15.2, 17, 47.5, 0.2, 12
Amphicyon giganteus, Europe, 15.2, 17, 47.4, 0.4, 130
Amphicyon giganteus, Europe, 15.2, 17, 47.4, 1.4, 165
Amphicyon giganteus, Europe, 15.2, 17, 47.3, 0.8, 14
Amphicyon giganteus, Europe, 15.2, 17, 47.5, 0, 13
Amphicyon giganteus, Europe, 15.2, 17, 47.3, 0.3, 131
Amphicyon giganteus, Europe, 15.2, 17, 47.4, 1.2, 166
Amphicyon giganteus, Europe, 15.2, 17, 47.4, 0.2, 167
Amphicyon giganteus, Europe, 15.97, 16.9, 44, 0.4, 168
Amphicyon giganteus, Europe, 15.97, 16.9, 48.1, 1.8, 133
Amphicyon giganteus, Europe, 15.97, 16.9, 48.1, 1.9, 169
Amphicyon giganteus, Europe, 15.97, 16.9, 44, 0.5, 170
Amphicyon giganteus, Europe, 15.97, 16.9, 48.5, 10.1, 171
Amphicyon giganteus, Africa, 16.4, 20.5, -5.3, 12.2, 172
Amphicyon giganteus, Europe, 17, 18, 48.1, 1.9, 173
Amphicyon giganteus, Europe, 17, 18, 44, 0.5, 174
Amphicyon giganteus, Europe, 17, 18, 48, 1.9, 175
Amphicyon giganteus, Europe, 17, 18, 44.2, 0.9, 176
Amphicyon giganteus, Europe, 17, 18, 47.7, 1.4, 177
Amphicyon giganteus, Europe, 17, 18, 48.5, 10.1, 178
Amphicyon giganteus, Europe, 17, 18, 38.4, -9.1, 179
Amphicyon giganteus, Europe, 17, 18, 41.2, -1.5, 180
Amphicyon giganteus, Europe, 17, 18, 41.3, 2.2, 181
Amphicyon giganteus, Europe, 18, 20, 50.5, 13.4, 182
Amphicyon giganteus, Europe, 18, 20, 50.3, 13.7, 183
Amphicyon giganteus, Europe, 18, 20, 48.9, 11.2, 30
Amphicyon giganteus, Europe, 19, 20, 47.3, 0.8, 184
Amphicyon giganteus, Europe, 20, 22.8, 40.7, -3.8, 185
Amphicyon giganteus, Europe, 20, 22.8, 40.1, -2.7, 186
Amphicyon ingens, NorthAmerica, 12.5, 14.8, 40.8, -104.1, 187
Amphicyon ingens, NorthAmerica, 13.6, 15.97, 34.8, -117, 188
Amphicyon ingens, NorthAmerica, 13.7, 13.8, 40.8, -104.2, 189
Amphicyon ingens, NorthAmerica, 14.8, 16, 42.2, -103.7, 190
Amphicyon ingens, NorthAmerica, 14.8, 16, 30.7, -95.1, 191
Amphicyon ingens, NorthAmerica, 14.8, 16, 35.1, -116.6, 192
Amphicyon ingens, NorthAmerica, 14.8, 16, 35, -117.1, 193
Amphicyon ingens, NorthAmerica, 14.8, 16, 43.5, -117.8, 194
Amphicyon ingens, NorthAmerica, 14.8, 16, 36, -106, 195
Amphicyon ingens, NorthAmerica, 15, 15.1, 34.8, -117, 196
Amphicyon ingens, NorthAmerica, 15.2, 15.2, 35.5, -106.2, 197
Amphicyon ingens, NorthAmerica, 15.97, 20.43, 42.4, -103.8, 198
Amphicyon lathanicus, Europe, 18, 20, 47.5, 0, 20
Amphicyon lathanicus, Europe, 18, 20, 48, 2.1, 199
Amphicyon lathanicus, Europe, 18, 20, 47.5, 1.4, 200
Amphicyon lathanicus, Europe, 18, 20, 47.4, 0.3, 21
Amphicyon lathanicus, Europe, 18, 20, 47.5, 0.3, 201
Amphicyon lathanicus, Europe, 18, 20, 46.6, 1.1, 202
Amphicyon lathanicus, Europe, 18, 20, 48.1, 2, 203
Amphicyon lathanicus, Europe, 18, 20, 47.5, 0.1, 204
Amphicyon lathanicus, Europe, 18, 20, 47.3, 0.3, 205
Amphicyon major, Europe, 7.246, 15.97, 43.5, 0.7, 125
Amphicyon major, Europe, 7.246, 13.65, 47.2, -0.3, 206
Amphicyon major, Europe, 9.491, 9.592, 41.5, 2.1, 46
Amphicyon major, Europe, 9.5, 11.2, 47.2, -0.3, 207
Amphicyon major, Europe, 9.5, 11.2, 49.7, 9, 50
Amphicyon major, Europe, 9.5, 11.2, 41.5, 2.1, 208
Amphicyon major, Europe, 9.5, 12.5, 41.5, 2.1, 209
Amphicyon major, Europe, 9.5, 11.2, 41, -4.2, 210
Amphicyon major, Europe, 9.5, 11.2, 42.4, 1.4, 211
Amphicyon major, Europe, 11.2, 12.5, 45.6, 5.2, 4
Amphicyon major, Europe, 11.2, 15.2, 44, 0.3, 126
Amphicyon major, Europe, 11.608, 15.97, 43.5, 0.6, 5
Amphicyon major, Europe, 11.608, 15.97, 43.5, 0.8, 212
Amphicyon major, Asia, 12.5, 15.2, 37.4, 30.1, 213
Amphicyon major, Europe, 12.5, 15.2, 47.2, 14.8, 214
Amphicyon major, Europe, 12.5, 15.2, 43.9, -0.5, 7
Amphicyon major, Europe, 12.5, 15.2, 39.3, -8.7, 215
Amphicyon major, Europe, 12.5, 15.2, 48.2, 17, 8
Amphicyon major, Europe, 12.5, 15.2, 41.3, -1.5, 216
Amphicyon major, Europe, 12.75, 13.65, 39.2, -8.7, 217
Amphicyon major, Europe, 12.75, 13.65, 48.2, 17, 9
Amphicyon major, Asia, 13.263, 14.059, 40.2, 33.5, 29
Amphicyon major, Asia, 13.65, 15.97, 40, 28.3, 218
Amphicyon major, Europe, 15.2, 17, 48.2, 9.9, 219
Amphicyon major, Europe, 15.2, 20, 48.3, 10, 220
Amphicyon major, Europe, 15.2, 17, 51.1, 7.7, 221
Amphicyon major, Europe, 15.2, 17, 48.6, 11.8, 222
Amphicyon major, Europe, 15.2, 17, 40.4, -3.7, 32
Amphicyon major, Europe, 15.2, 17, 40.2, -3.4, 223
Amphicyon major, Europe, 15.2, 17, 41.5, -3.6, 224
Amphicyon major, Europe, 15.2, 17, 40.2, -3.5, 225
Amphicyon major, Europe, 15.2, 17, 41.9, -1.7, 226
Amphicyon major, Europe, 15.2, 17, 40, -4.3, 227
Amphicyon major, Europe, 15.97, 16.9, 44, 0.5, 170
Amphicyon major, Europe, 15.97, 16.9, 48.4, 9.9, 228
Amphicyon major, Europe, 15.97, 23.03, 48.3, 10, 229
Amphicyon major, Europe, 15.97, 20, 48.1, 9.9, 230
Amphicyon major, Europe, 15.97, 20.43, 38.7, -9.1, 231
Amphicyon major, Europe, 15.97, 20.43, 39.4, -0.4, 232
Amphicyon major, Europe, 15.97, 16.9, 40.5, -2.7, 233
Amphicyon major, Europe, 17, 18, 44.2, 0.9, 176
Amphicyon major, Europe, 17, 18, 48.4, 9.9, 234
Amphicyon major, Europe, 18, 20, 50.5, 13.4, 182
Amphicyon major, Europe, 18, 20, 50.3, 13.7, 183
Amphicyon olisiponensis, Europe, 15.2, 17, 40.1, -2.7, 235
Amphicyon olisiponensis, Europe, 17, 18, 39.4, -0.8, 236
Amphicyon palaeindicus, Asia, 5.3, 7.1, 32, 77, 237
Amphicyon palaeindicus, Asia, 5.332, 11.608, 32.8, 72.5, 238
Amphicyon palaeindicus, Asia, 11.2, 12.5, 28, 82.3, 239
Amphicyon palaeindicus, Asia, 11.608, 15.97, 28.2, 82.2, 240
Amphicyon palaeindicus, Asia, 11.608, 15.97, 32.7, 72.4, 241
Amphicyon tairumensis, Asia, 5.332, 15.97, 43.6, 112.7, 242
Amphicyon tairumensis, Asia, 11.2, 12.5, 43.8, 113.1, 243
Amphicyon tairumensis, Asia, 11.2, 12.5, 43, 112, 244
Amphicyon tairumensis, Asia, 12.5, 15.2, 36.5, 103.4, 245
Amphicyon tairumensis, Asia, 12.75, 13.65, 35.6, 103.4, 246
Amphicyon ulungurensis, Asia, 12.5, 15.2, 46, 89, 6
Amphicyon ulungurensis, Asia, 12.5, 15.2, 47, 88, 247
Amphicyonopsis serus, Europe, 11.2, 12.5, 45.6, 5.2, 4
Angelarctocyon australis, NorthAmerica, 37, 40, 29.6, -104.4, 248
Angelarctocyon australis, NorthAmerica, 37.2, 37.2, 29.9, -104.2, 249
Angelarctocyon australis, NorthAmerica, 37.2, 40.4, 29.9, -104.2, 250
Bonisicyon illacabo, Africa, 5.3, 7.1, 11.1, 40.4, 251
Bonisicyon illacabo, Africa, 5.3, 7.1, 11.2, 40.3, 252
Bonisicyon illacabo, Africa, 5.3, 6.54, 2.9, 36, 253
Bonisicyon illacabo, Africa, 6.04, 6.108, -1.3, 36, 254
Borocyon neomexicanus, NorthAmerica, 18.8, 19.5, 35.5, -106.8, 255
Borocyon neomexicanus, NorthAmerica, 19.5, 23, 42.9, -104.4, 256
Borocyon neomexicanus, NorthAmerica, 21.2, 21.6, 35.7, -107, 257
Borocyon niobrarensis, NorthAmerica, 12.5, 14.8, 41.5, -104.8, 258
Borocyon niobrarensis, NorthAmerica, 15.97, 20.43, 41.3, -105.1, 259
Borocyon niobrarensis, NorthAmerica, 15.97, 20.43, 42.2, -104.1, 260
Borocyon niobrarensis, NorthAmerica, 15.97, 20.43, 42.8, -103.1, 261
Borocyon niobrarensis, NorthAmerica, 16, 17.5, 41.1, -104.8, 262
Borocyon niobrarensis, NorthAmerica, 17.5, 18.8, 42.8, -102, 147
Borocyon niobrarensis, NorthAmerica, 19.5, 19.5, 42.7, -102.5, 263
Borocyon niobrarensis, NorthAmerica, 19.9, 20, 42.8, -102, 264
Borocyon robustum, NorthAmerica, 14.8, 18.8, 28.1, -81.6, 265
Borocyon robustum, NorthAmerica, 15.97, 20.43, 35.7, -107, 266
Borocyon robustum, NorthAmerica, 15.97, 20.43, 44.7, -119.6, 146
Borocyon robustum, NorthAmerica, 17.5, 18.8, 42.4, -103.3, 267
Borocyon robustum, NorthAmerica, 17.5, 18.8, 42.8, -102, 147
Borocyon robustum, NorthAmerica, 17.5, 18.8, 44.9, -123, 149
Borocyon robustum, NorthAmerica, 17.5, 18.8, 35.5, -106.8, 268
Borocyon robustum, NorthAmerica, 18.5, 20.2, 42.2, -103.1, 269
Borocyon robustum, NorthAmerica, 19, 20.2, 42.2, -103.1, 270
Borocyon robustum, NorthAmerica, 19.5, 19.6, 41.7, -103.1, 271
Borocyon robustum, NorthAmerica, 19.8, 19.8, 42.8, -103.1, 150
Borocyon robustum, NorthAmerica, 19.8, 19.9, 42.2, -103.1, 151
Borocyon robustum, NorthAmerica, 19.9, 19.9, 42.2, -103.1, 156
Borocyon robustum, NorthAmerica, 19.9, 19.9, 42.4, -103.3, 157
Borocyon robustum, NorthAmerica, 20.43, 24.8, 42.4, -103.8, 272
Borocyon robustum, NorthAmerica, 21.9, 22.2, 44.5, -119.3, 273
Brachyrhynchocyon dodgei, NorthAmerica, 33.7, 35.7, 43, -106.8, 274
Brachyrhynchocyon dodgei, NorthAmerica, 33.7, 34.7, 42.4, -106.2, 275
Brachyrhynchocyon dodgei, NorthAmerica, 33.7, 34.7, 42.7, -105.2, 276
Brachyrhynchocyon dodgei, NorthAmerica, 33.7, 34.7, 43, -104.5, 277
Brachyrhynchocyon dodgei, NorthAmerica, 33.7, 34.7, 39.7, -105, 278
Brachyrhynchocyon dodgei, NorthAmerica, 33.7, 34.7, 43.5, -103, 85
Brachyrhynchocyon dodgei, NorthAmerica, 33.7, 34.7, 41.1, -100.8, 279
Brachyrhynchocyon dodgei, NorthAmerica, 33.7, 35.7, 46.6, -112, 101
Brachyrhynchocyon dodgei, NorthAmerica, 33.7, 37, 46.6, -112, 280
Brachyrhynchocyon dodgei, NorthAmerica, 34.7, 36.5, 43, -106.8, 281
Brachyrhynchocyon dodgei, NorthAmerica, 34.7, 35.7, 43, -106.8, 282
Brachyrhynchocyon dodgei, NorthAmerica, 34.7, 35.7, 43.5, -103, 283
Brachyrhynchocyon dodgei, NorthAmerica, 34.7, 35.7, 41.1, -100.8, 95
Brachyrhynchocyon dodgei, NorthAmerica, 34.7, 35.7, 46.6, -112, 102
Brachyrhynchocyon dodgei, NorthAmerica, 34.9, 35, 46.6, -112.1, 284
Brachyrhynchocyon dodgei, NorthAmerica, 34.9, 37.1, 42.4, -103.8, 285
Brachyrhynchocyon dodgei, NorthAmerica, 35.3, 35.4, 42.8, -103.1, 286
Brachyrhynchocyon dodgei, NorthAmerica, 35.5, 35.5, 43.6, -102.4, 287
Brachyrhynchocyon dodgei, NorthAmerica, 35.5, 35.5, 43.3, -102.5, 88
Brachyrhynchocyon dodgei, NorthAmerica, 35.5, 37.1, 45, -112.8, 288
Brachyrhynchocyon dodgei, NorthAmerica, 35.7, 36.5, 42.1, -104.4, 289
Brachyrhynchocyon dodgei, NorthAmerica, 35.8, 35.8, 42.8, -103.4, 290
Brachyrhynchocyon dodgei, NorthAmerica, 35.8, 35.9, 45.9, -112.3, 291
Brachyrhynchocyon dodgei, NorthAmerica, 35.9, 35.9, 46, -112, 104
Brachyrhynchocyon dodgei, NorthAmerica, 36.1, 36.1, 43.6, -102.4, 89
Brachyrhynchocyon dodgei, NorthAmerica, 36.5, 37, 54.5, -105.7, 292
Brachyrhynchocyon dodgei, NorthAmerica, 36.5, 37, 43.5, -103, 293
Brachyrhynchocyon dodgei, NorthAmerica, 36.5, 37, 46.6, -112, 294
Brachyrhynchocyon dodgei, NorthAmerica, 36.5, 37, 29.6, -104.4, 295
Brachyrhynchocyon dodgei, NorthAmerica, 36.7, 36.7, 42, -104.2, 106
Brachyrhynchocyon dodgei, NorthAmerica, 36.9, 36.9, 49.6, -109.9, 107
Brachyrhynchocyon dodgei, NorthAmerica, 37.1, 37.1, 29.9, -104.2, 296
Brachyrhynchocyon intermedius, NorthAmerica, 35.2, 36.1, 43, -104.5, 87
Brachyrhynchocyon montanus, NorthAmerica, 34.7, 35.7, 46.6, -112, 102
